     uname       |     nickname     |                     bio                    
-----------------+------------------+--------------------------------------------
Theseus          | Duke Theseus     | Duke of Athens.
Egeus            | Egeus            | father to #Hermia.
Lysander         | Lysander         | in love with #Hermia.
Demetrius        | Demetrius        | in love with #Hermia.
Philostrate      | Philostrate      | master of the revels to Theseus.
Peter Quince     | Quince           | a carpenter.
Snug             | Snug             | a joiner.
Nick Bottom      | Bottom           | a weaver.
Francis Flute    | Flute            | a bellows-mender.
Tom Snout        | Snout            | a tinker.
Robin Starveling | Starveling       | a tailor.
Hippolyta        | Hippolyta        | queen of the Amazons, betrothed to Theseus.
Hermia           | Hermia           | daughter to Egeus, in love with Lysander.
Helena           | Helena           | in love with Demetrius.
Oberon           | Oberon           | king of the fairies.
Titania          | Titania          | queen of the fairies.
Puck             | Robin Goodfellow | or Robin Goodfellow.
Peaseblossom     | Peaseblossom     | Team #Fairies
Cobweb           | Cobweb           | Team #Fairies
Moth             | Moth             | Team #Fairies
Mustardseed      | Mustardseed      | Team #Fairies
All              | All              | Everyone speaking at the same time
Fairy            | Fairy            | One of them #Fairies
Prologue         | Prologue         | a play within a play
Wall             | Wall             | a play within a play
Pyramus          | Pyramus          | a play within a play
Thisbe           | Thisbe           | a play within a play
Lion             | Lion             | a play within a play
Moonshine        | Moonshine        | a play within a play
